date,team1,team2,score1,score2
第一轮第一场,山东,新疆,95,78
第一轮第一场,辽宁,广厦,124,114
第一轮第一场,四川,广东,91,111
第一轮第一场,深圳,上海,115,75
第一轮第二场,新疆,山东,119,104
第一轮第二场,广厦,辽宁,118,110
第一轮第二场,广东,四川,123,99
第一轮第二场,上海,深圳,107,99
第一轮第三场,新疆,山东,102,93
第一轮第三场,广厦,辽宁,100,117
第一轮第三场,广东,四川,119,97
第一轮第三场,上海,深圳,95,92
第一轮第四场,山东,新疆,102,108
第一轮第四场,辽宁,广厦,112,106
第一轮第四场,深圳,上海,100,93
第一轮第五场,上海,深圳,95,102
半决赛第一场,新疆,辽宁,118,93
半决赛第一场,广东,深圳,130,113
半决赛第二场,新疆,辽宁,102,90
半决赛第二场,广东,深圳,98,88
半决赛第三场,辽宁,新疆,108,116
半决赛第三场,深圳,广东,109,90
半决赛第四场,辽宁,新疆,109,107
半决赛第四场,深圳,广东,81,90
半决赛第五场,辽宁,新疆,103,111
半决赛第五场,深圳,广东,90,103
总决赛第一场,新疆,广东,122,105
总决赛第二场,新疆,广东,103,97
总决赛第三场,广东,新疆,91,104
总决赛第四场,广东,新疆,109,117
