Member,Date,Turn,Abc,No,Type,Win,Score1,Score2,Team,ScoreZ,Lb,Gm,Img
周琦,2016/10/30,1,9,1,主场,1,110,92,北京,12,4,2,北京.png
周琦,2016/11/2,2,9,1,客场,1,109,94,北控,9,12,0,北控.png
周琦,2016/11/4,3,9,1,客场,1,118,113,广厦,15,10,5,广厦.png
周琦,2016/11/6,4,9,1,客场,1,109,87,浙江,21,10,1,浙江.png
周琦,2016/11/11,5,9,1,主场,1,119,108,同曦,0,,,同曦.png
周琦,2016/11/13,6,9,1,主场,1,115,106,江苏,0,,,江苏.png
周琦,2016/11/15,7,9,1,客场,1,99,89,广州,12,10,2,广州.png
周琦,2016/11/18,8,7,3,客场,0,85,117,广东,0,,,广东.png
周琦,2016/11/20,9,6,4,客场,0,91,106,深圳,22,10,0,深圳.png
周琦,2016/11/25,10,6,4,主场,1,139,117,吉林,29,7,0,吉林.png
周琦,2016/11/27,11,7,3,主场,1,112,107,辽宁,10,11,5,辽宁.png
周琦,2016/11/30,12,4,6,客场,0,97,122,上海,16,14,4,上海.png
周琦,2016/12/2,13,5,5,客场,1,114,103,福建,12,10,4,福建.png
周琦,2016/12/4,14,6,4,主场,1,90,77,四川,0,,,四川.png
周琦,2016/12/7,15,6,4,客场,1,121,118,山西,0,,,山西.png
周琦,2016/12/11,16,6,4,主场,1,125,112,青岛,15,14,3,青岛.png
周琦,2016/12/14,17,6,4,主场,1,111,85,八一,17,15,6,八一.png
周琦,2016/12/16,18,7,3,客场,1,120,106,山东,12,9,4,山东.png
周琦,2016/12/18,19,7,3,客场,1,104,96,天津,12,10,3,天津.png
周琦,2016/12/23,20,7,3,客场,0,95,101,北京,11,10,1,北京.png
周琦,2016/12/25,21,7,3,主场,1,131,99,北控,21,12,1,北控.png
周琦,2016/12/28,22,7,3,主场,0,97,100,广厦,16,10,1,广厦.png
周琦,2016/12/30,23,7,3,主场,1,135,109,浙江,20,7,2,浙江.png
周琦,2017/1/1,24,7,3,客场,1,104,89,同曦,16,8,2,同曦.png
周琦,2017/1/4,25,7,3,客场,1,109,98,江苏,16,15,1,江苏.png
周琦,2017/1/11,26,8,2,主场,1,135,109,广州,10,7,0,广州.png
周琦,2017/1/13,27,8,2,主场,1,129,109,广东,22,8,5,广东.png
周琦,2017/1/15,28,8,2,主场,1,113,107,深圳,11,14,1,深圳.png
周琦,2017/1/20,29,8,2,客场,1,135,113,吉林,24,12,1,吉林.png
周琦,2017/1/22,30,8,2,客场,0,100,106,辽宁,12,12,2,辽宁.png
周琦,2017/1/24,31,8,2,主场,1,109,95,上海,21,16,3,上海.png
周琦,2017/2/5,32,9,1,主场,1,138,115,福建,16,9,0,福建.png
周琦,2017/2/8,33,9,1,客场,1,108,86,四川,11,2,3,四川.png
周琦,2017/2/10,34,9,1,主场,1,129,94,山西,0,,,山西.png
周琦,2017/2/12,35,9,1,客场,1,110,102,青岛,26,15,5,青岛.png
周琦,2017/2/15,36,9,1,客场,1,100,83,八一,17,12,2,八一.png
周琦,2017/2/17,37,9,1,主场,1,118,85,山东,13,4,0,山东.png
周琦,2017/2/19,38,9,1,主场,1,123,83,天津,19,8,0,天津.png
